,artist_no_tags,artistGGL,website
30,Angela Buenning Filo,['http://www.angelabuenning.com/'],
31,Paulette Peterson,[],
32,Pilar Aguero,['https://pilaraguero.com/'],
33,Tom Dyer,,
34,Johanna Poethig,['https://johannapoethig.com/'],
35,Ben Hooker + Shona Kitchen,"[ 'http://www.shonakitchen.com/','www.benhooker.com/']",
36,"Carolyn Ryder Cooley, Lena Wolff, Daniel Jesse Lewis, Jessie Rose Vala, David Choe, Bruno 9Li, Klone, Adrian Lee, and Know Hope",,
37,Bunnie Reiss,http://www.bunniereiss.com/,http://www.bunniereiss.com/
38,Doryu and State of Grace,[],
39,"MMAP (Mural Music and Arts Project), lead artist: Omar Ramirez, and students and staff",http://www.muralmusicarts.org/,http://www.muralmusicarts.org/
40,Phuong-Mai Bui-Quang,[ 'https://www.pmbq.com/'],
41,Tomas Wisper Talamantes,"['https://www.facebook.com/wisper.t.talamantes','https://www.instagram.com/wispertfl/']",https://www.facebook.com/wisper.t.talamantes
42,Paul J. Gonzalez,http://www.pauljgonzalezartstudios.com/,http://www.pauljgonzalezartstudios.com/
43,Jackie Brookner,['http://jackiebrookner.com'],
44,Mel Chin,['http://melchin.org''],
45,Merge Conceptual Design (Franka Diehnelt and Claudia Reisenberger),https://mergeconceptualdesign.com/,
46,Scape Martinez,http://www.sm-artgroup.com/,
47,"San Jose State University ΓÇ£Art in CommunityΓÇÙ Students with Tony May, Instructor",['http://www.tonymay.net/'],
48,Cynthia Handel,[],
49,Michael Stutz,[ 'https://www.stutzart.com/'],
50,Lacey Bryant and Ben Henderson,"['https://www.laceybryant.com/','https://www.instagram.com/evilrobot42/', 'https://www.instagram.com/ohmaigawd/']","['https://www.instagram.com/evilrobot42/', 'https://www.instagram.com/ohmaigawd/']"
51,Jim Fonseca and Ivan Gonzalez,"['https://www.instagram.com/jimmypaints/', 'https://www.instagram.com/itg3000/']","['https://www.instagram.com/jimmypaints/', 'https://www.instagram.com/itg3000/']"
52,Unknown,,
53,Royyal Dog,['https://www.instagram.com/royyaldog/'],https://www.instagram.com/royyaldog/
54,Diana Pumpelly-Bates,[],
55,Paul J. Gonzalez,http://www.pauljgonzalezartstudios.com/,http://www.pauljgonzalezartstudios.com/
56,Andrea Myklebust & Stanton Sears,['http://www.myklebustsears.com/],
57,Ivan Gonzales,['https://www.instagram.com/itg3000/'],
58,Francisco Ramirez,https://www.instagram.com/fco1980/,https://www.instagram.com/fco1980/
59,Cliff Garten Studio (copy of 130),['http://www.cliffgartenstudio.com/'],
60,Gordon Huether,['https://www.gordonhuether.com/'],
61,John Pugh,['https://artofjohnpugh.com/'],
62,Nina Koepcke,['http://www.ninakstudio.com/'],
63,Masayuki Nagase,['http://www.mnagase.com/'],
64,Ben Rubin,['https://www.adobe.com/aboutadobe/philanthropy/sjsemaphore/bio.html'],
65,Carlos Rodriguez,['https://www.carlosrodriguezart.com/'],
66,Lisa Reinertson,['http://www.lisareinertson.com/'],
67,Sam Rodriguez and Matthew Rodriguez,['http://samrodriguezart.com/'],
68,Joyce Cutler Shaw,[],
69,Francisco Ramirez,https://www.instagram.com/fco1980/,https://www.instagram.com/fco1980/
70,Carlos Perez,['https://www.coroflot.com/artorigin/profile'],
71,JoeSam,['http://www.joesam.com/'],
72,Deborah Mersky,['http://deborahmersky.com/'],
73,Sam Rodriguez,http://samrodriguezart.com/,
74,Gregory Kucera,['http://www.gregkucera.com/'],
75,"['Mark Evans', 'Charley Brown'] (edit names)",['http://evansandbrown.com/'],
76,Catrina Sida,[],
